Account,active_days,total_pnl,mean_daily_pnl,std_daily_pnl,mean_win_rate,mean_trade_size,mean_trades_per_day,total_volume,consistency_score,size_segment,freq_segment,consistency_segment
0x083384f897ee0f19899168e3b1bec365f52a9012,24,1600229.819979,66676.242499125,150401.79734551374,0.7706911497254099,33569.102223713766,159.08333333333334,61697263.970000006,0.4433207825698491,High-size,Infrequent,Moderate
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,52,47885.320514,920.871548346154,3603.042291024876,0.7746694551728613,4359.8309302466505,140.0,12035487.66,0.2555816651500402,Mid-size,Moderate,Moderate
0x271b280974205ca63b716753467d5a371de622ab,12,-70436.19131799998,-5869.682609833332,33420.410013838264,0.7291901940773508,11057.118418553686,317.4166666666667,33873440.42,-0.1756316755959276,High-size,Infrequent,Inconsistent
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,162,132464.814554,817.6840404567902,2993.2847018942703,0.8834986162967678,484.8442941619222,82.16666666666667,6757022.1,0.2731728258054862,Low-size,Frequent,Moderate
0x2c229d22b100a7beb69122eed721cee9b24011dd,69,168658.004994,2444.3189129565217,4867.743468797183,0.7615892289549481,2553.7570373757217,46.94202898550725,10166880.2,0.5021462056546114,Low-size,Frequent,Consistent
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,43,-31203.599986,-725.6651159534885,10110.280939662283,0.6742275521077364,1613.2556722621034,18.953488372093023,1409902.0,-0.0717749704765106,Low-size,Moderate,Inconsistent
0x39cef799f8b69da1995852eea189df24eb5cae3c,46,14456.919336,314.2808551304348,14586.482779999604,0.8311065086645512,28188.549085190585,78.02173913043478,17193375.42,0.0215460340831008,High-size,Moderate,Inconsistent
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,28,53496.247243000005,1910.580258678572,5774.468515461302,1.0,9812.51560528366,11.857142857142858,1143896.46,0.3308668587529639,High-size,Infrequent,Moderate
0x420ab45e0bd8863569a5efbb9c05d91f40624641,20,199505.592732,9975.2796366,20797.39604487325,1.0,8334.762260556681,19.15,1987527.61,0.4796407980632267,Mid-size,Infrequent,Consistent
0x430f09841d65beb3f27765503d0f850b8bce7713,28,416541.872341,14876.49544075,32725.08326015729,1.0,2525.945975144083,44.17857142857143,2966109.22,0.4545899951570817,Low-size,Infrequent,Consistent
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,144,103343.716161,717.6646955625,2484.2443189649503,0.8128397849603801,516.6442989710463,59.15972222222222,4408828.9,0.2888865197693244,Low-size,Frequent,Moderate
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,58,677747.050643,11685.293976603449,25344.268484609507,0.9126012876012876,16024.724760769132,75.10344827586206,39572949.25,0.461062586347656,High-size,Moderate,Consistent
0x4f93fead39b70a1824f981a54d4e55b278e9f760,321,308975.869716,962.5416502056074,7430.255413150263,0.9598035894545964,16038.456425115372,23.626168224299064,129672529.28,0.129543548193791,High-size,Frequent,Inconsistent
0x513b8629fe877bb581bf244e326a047b249c4ff1,39,840422.555216,21549.296287589743,42171.74469920306,0.8668135348666396,27603.84521556422,313.7435897435897,420876556.36,0.5109889676439441,High-size,Moderate,Consistent
0x6d6a4b953f202f8df5bed40692e7fd865318264a,47,108731.216772,2313.4301440851063,7470.04650016332,0.9533730158730158,867.1703611532234,20.74468085106383,728057.51,0.3096942092709231,Low-size,Moderate,Moderate
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,19,429355.565915,22597.66136394737,80215.01097553849,0.5299145299145299,9367.295108536868,83.6842105263158,11474500.92,0.2817136230379437,Mid-size,Infrequent,Moderate
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,66,403011.504159,6106.2349115,23666.25407158972,0.7983957219251336,4840.92212840505,21.666666666666668,3051144.33,0.2580144239569482,Mid-size,Frequent,Moderate
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,146,379095.406711,2596.543881582192,4762.374293945578,0.8804709200721843,3354.209290301069,67.76027397260275,25729497.24,0.5452204554529001,Mid-size,Frequent,Consistent
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,26,14900.443047,573.0939633461538,873.4108109517282,0.9088894191256396,6760.1144210194525,59.96153846153846,5844484.45,0.6561562510563287,Mid-size,Infrequent,Consistent
0x8170715b3b381dffb7062c0298972d4727a0a63b,92,-167621.124781,-1821.9687476195647,38190.08942383133,0.7719582022958876,2782.687344213111,50.01086956521739,10143758.13,-0.0477078942497218,Low-size,Frequent,Inconsistent
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,54,65513.657906,1213.215887148148,5511.299034566663,0.8301391760610106,5475.174210575846,35.388888888888886,11999173.37,0.2201324732225384,Mid-size,Moderate,Inconsistent
0x8477e447846c758f5a675856001ea72298fd9cb5,174,43917.008976,252.3966033103448,3367.9125184012946,0.8582936814277426,839.021370213006,86.19540229885058,12304786.84,0.074941555616817,Low-size,Frequent,Inconsistent
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,18,126578.942134,7032.163451888889,15642.867721081608,0.8688811188811189,12481.488695021257,169.55555555555554,10992355.74,0.4495443915575511,High-size,Infrequent,Consistent
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,64,106302.875256,1660.982425875,2678.372530919574,0.9719059123267462,1273.0527781456335,243.828125,19868207.98,0.6201461546892171,Low-size,Moderate,Consistent
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,37,72846.484272,1968.8238992432432,7523.577871362993,0.6666666666666666,2007.329778577112,11.27027027027027,861809.4,0.2616871830006812,Low-size,Moderate,Moderate
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,15,67845.619531,4523.0413020666665,8542.12051178745,1.0,2959.4760618012087,37.53333333333333,1677425.7200000002,0.5294986526852703,Mid-size,Infrequent,Consistent
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,20,21758.831753,1087.94158765,2029.2695425579957,0.8783542039355994,18919.354152424097,26.7,4448323.26,0.5361247310096594,High-size,Infrequent,Consistent
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,256,2143382.597689,8372.588272222656,39920.90858902897,0.7997419813230227,4495.49655852293,57.55078125,56543565.23,0.2097294016630574,Mid-size,Frequent,Inconsistent
0xb899e522b5715391ae1d4f137653e7906c5e2115,35,22488.500821,642.5285948857144,12369.710508123975,0.85729441806591,26246.518331080708,138.22857142857143,108877041.1,0.0519437051064149,High-size,Moderate,Inconsistent
0xbaaaf6571ab7d571043ff1e313a9609a10637864,28,940163.80622,33577.27879357143,74757.66101524414,0.9498331633731828,4528.364242699367,756.8571428571429,68036340.24,0.4491483325932917,Mid-size,Infrequent,Moderate
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,67,220519.061853,3291.32928138806,30273.449507840574,0.5507125944842794,10511.08274482338,39.4179104477612,20737391.71,0.1087199950747479,High-size,Frequent,Inconsistent
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,131,836080.553077,6382.294298297709,25629.432631190368,0.8055407335868281,1760.5388452412292,306.7480916030534,74107810.44,0.2490220673293648,Low-size,Frequent,Inconsistent
